t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,4.558400000000000318e+01,5.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,4.552000000000000313e+01,5.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,4.522899999999999920e+01,5.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,4.510099999999999909e+01,5.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,4.490699999999999648e+01,5.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,4.484300000000000352e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,4.464900000000000091e+01,5.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,4.471399999999999864e+01,5.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,4.448799999999999955e+01,5.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,4.445600000000000307e+01,5.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,4.445600000000000307e+01,5.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,4.458500000000000085e+01,5.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,4.468200000000000216e+01,5.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,4.471399999999999864e+01,5.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,4.487500000000000000e+01,5.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,4.519700000000000273e+01,5.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,4.558400000000000318e+01,5.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,4.584199999999999875e+01,5.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,4.619599999999999795e+01,5.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,4.661500000000000199e+01,5.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,4.690500000000000114e+01,5.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,4.703399999999999892e+01,5.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,4.748499999999999943e+01,5.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,4.764600000000000080e+01,5.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,4.771099999999999852e+01,5.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,4.858100000000000307e+01,5.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,4.861299999999999955e+01,5.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,4.887100000000000222e+01,5.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,4.893599999999999994e+01,5.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,4.916100000000000136e+01,5.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,4.925800000000000267e+01,5.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,4.938700000000000045e+01,5.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,4.957999999999999829e+01,5.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,4.970900000000000318e+01,5.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,4.990200000000000102e+01,5.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,5.006300000000000239e+01,5.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,5.022500000000000142e+01,5.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,5.032099999999999795e+01,5.000000000000000000e+01
8.100000000000000000e+01,5.000000000000000000e+01,5.054699999999999704e+01,5.000000000000000000e+01
8.200000000000000000e+01,5.000000000000000000e+01,5.054699999999999704e+01,5.000000000000000000e+01
8.300000000000000000e+01,5.000000000000000000e+01,5.086899999999999977e+01,5.000000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,5.086899999999999977e+01,5.000000000000000000e+01
8.500000000000000000e+01,5.000000000000000000e+01,5.119100000000000250e+01,5.000000000000000000e+01
8.600000000000000000e+01,5.000000000000000000e+01,5.122399999999999665e+01,5.000000000000000000e+01
8.700000000000000000e+01,5.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
8.800000000000000000e+01,5.000000000000000000e+01,5.154599999999999937e+01,5.000000000000000000e+01
8.900000000000000000e+01,5.000000000000000000e+01,5.183599999999999852e+01,5.000000000000000000e+01
9.000000000000000000e+01,5.000000000000000000e+01,5.193299999999999983e+01,5.000000000000000000e+01
9.100000000000000000e+01,5.000000000000000000e+01,5.215800000000000125e+01,5.000000000000000000e+01
9.200000000000000000e+01,5.000000000000000000e+01,5.235199999999999676e+01,5.000000000000000000e+01
9.300000000000000000e+01,5.000000000000000000e+01,5.247999999999999687e+01,5.000000000000000000e+01
9.400000000000000000e+01,5.000000000000000000e+01,5.264200000000000301e+01,5.000000000000000000e+01
9.500000000000000000e+01,5.000000000000000000e+01,5.280299999999999727e+01,5.000000000000000000e+01
9.600000000000000000e+01,5.000000000000000000e+01,5.286699999999999733e+01,5.000000000000000000e+01
9.700000000000000000e+01,5.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
9.800000000000000000e+01,5.000000000000000000e+01,5.315699999999999648e+01,5.000000000000000000e+01
