tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.999999999999118927e-04
2.000000000000000000e+00,1.000000000000000000e+00,2.425000000000210407e-03
3.000000000000000000e+00,1.000000000000000000e+00,2.425000000000210407e-03
4.000000000000000000e+00,1.000000000000000000e+00,3.225000000000122300e-03
5.000000000000000000e+00,1.000000000000000000e+00,1.624999999999943113e-03
6.000000000000000000e+00,1.000000000000000000e+00,3.225000000000122300e-03
7.000000000000000000e+00,1.000000000000000000e+00,1.624999999999943113e-03
8.000000000000000000e+00,1.000000000000000000e+00,3.225000000000122300e-03
9.000000000000000000e+00,1.000000000000000000e+00,4.025000000000033759e-03
1.000000000000000000e+01,1.000000000000000000e+00,4.025000000000033759e-03
1.100000000000000000e+01,1.000000000000000000e+00,3.225000000000122300e-03
1.200000000000000000e+01,1.000000000000000000e+00,3.225000000000122300e-03
1.300000000000000000e+01,1.000000000000000000e+00,7.250000000000156493e-03
1.400000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
1.500000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
1.600000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
1.700000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
1.800000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
1.900000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.000000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.100000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.200000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.300000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.400000000000000000e+01,1.000000000000000000e+00,1.290000000000013358e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.370000000000004547e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.612500000000025718e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.612500000000025718e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.612500000000025718e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.612500000000025718e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.692500000000016908e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.772500000000008097e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.257500000000014356e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.417499999999996735e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.497500000000023659e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.899999999999991473e-02
3.800000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
3.900000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.000000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.100000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.200000000000000000e+01,1.000000000000000000e+00,4.027500000000010238e-02
4.300000000000000000e+01,1.000000000000000000e+00,4.027500000000010238e-02
4.400000000000000000e+01,1.000000000000000000e+00,4.027500000000010238e-02
4.500000000000000000e+01,1.000000000000000000e+00,4.190000000000004832e-02
4.600000000000000000e+01,1.000000000000000000e+00,4.755000000000002280e-02
4.700000000000000000e+01,1.000000000000000000e+00,4.834999999999993470e-02
4.800000000000000000e+01,1.000000000000000000e+00,4.834999999999993470e-02
4.900000000000000000e+01,1.000000000000000000e+00,4.995000000000011930e-02
5.000000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
5.100000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
5.200000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
5.300000000000000000e+01,1.000000000000000000e+00,5.962500000000012929e-02
5.400000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
5.500000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
5.600000000000000000e+01,1.000000000000000000e+00,6.527500000000011071e-02
5.700000000000000000e+01,1.000000000000000000e+00,6.930000000000013927e-02
5.800000000000000000e+01,1.000000000000000000e+00,7.252500000000025593e-02
5.900000000000000000e+01,1.000000000000000000e+00,7.252500000000025593e-02
6.000000000000000000e+01,1.000000000000000000e+00,7.572499999999990350e-02
6.100000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
6.200000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
6.300000000000000000e+01,1.000000000000000000e+00,8.380000000000009663e-02
6.400000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
6.500000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
