tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00,2.399999999999735678e-03
3.100000000000000000e+01,1.000000000000000000e+00,4.824999999999945652e-03
3.200000000000000000e+01,1.000000000000000000e+00,8.049999999999713635e-03
3.300000000000000000e+01,1.000000000000000000e+00,8.049999999999713635e-03
3.400000000000000000e+01,1.000000000000000000e+00,8.049999999999713635e-03
3.500000000000000000e+01,1.000000000000000000e+00,8.849999999999979411e-03
3.600000000000000000e+01,1.000000000000000000e+00,1.529999999999986926e-02
3.700000000000000000e+01,1.000000000000000000e+00,1.609999999999978115e-02
3.800000000000000000e+01,1.000000000000000000e+00,1.609999999999978115e-02
3.900000000000000000e+01,1.000000000000000000e+00,1.852499999999999286e-02
4.000000000000000000e+01,1.000000000000000000e+00,2.414999999999984867e-02
4.100000000000000000e+01,1.000000000000000000e+00,2.414999999999984867e-02
4.200000000000000000e+01,1.000000000000000000e+00,2.414999999999984867e-02
4.300000000000000000e+01,1.000000000000000000e+00,3.059999999999973852e-02
4.400000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.500000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.600000000000000000e+01,1.000000000000000000e+00,3.784999999999989762e-02
4.700000000000000000e+01,1.000000000000000000e+00,4.027499999999974850e-02
4.800000000000000000e+01,1.000000000000000000e+00,4.027499999999974850e-02
4.900000000000000000e+01,1.000000000000000000e+00,4.752499999999990760e-02
5.000000000000000000e+01,1.000000000000000000e+00,4.832499999999981949e-02
5.100000000000000000e+01,1.000000000000000000e+00,4.832499999999981949e-02
5.200000000000000000e+01,1.000000000000000000e+00,5.397499999999979398e-02
5.300000000000000000e+01,1.000000000000000000e+00,5.637499999999988354e-02
5.400000000000000000e+01,1.000000000000000000e+00,5.637499999999988354e-02
5.500000000000000000e+01,1.000000000000000000e+00,6.444999999999971585e-02
5.600000000000000000e+01,1.000000000000000000e+00,6.444999999999971585e-02
5.700000000000000000e+01,1.000000000000000000e+00,6.444999999999971585e-02
5.800000000000000000e+01,1.000000000000000000e+00,6.524999999999998856e-02
5.900000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-02
6.000000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-02
6.100000000000000000e+01,1.000000000000000000e+00,7.409999999999997145e-02
6.200000000000000000e+01,1.000000000000000000e+00,8.054999999999985782e-02
6.300000000000000000e+01,1.000000000000000000e+00,8.054999999999985782e-02
6.400000000000000000e+01,1.000000000000000000e+00,8.137499999999989186e-02
6.500000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
6.600000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
6.700000000000000000e+01,1.000000000000000000e+00,9.504999999999981519e-02
6.800000000000000000e+01,1.000000000000000000e+00,9.667499999999976112e-02
6.900000000000000000e+01,1.000000000000000000e+00,9.667499999999976112e-02
7.000000000000000000e+01,1.000000000000000000e+00,1.014999999999997016e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.047249999999998182e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.047249999999998182e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.087499999999998607e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.127749999999998892e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.135999999999999233e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.208499999999997215e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.216499999999999942e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.288999999999997925e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.288999999999997925e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.288999999999997925e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.304999999999999771e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.369499999999998496e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.369499999999998496e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.377499999999997615e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.442000000000000226e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.458249999999999547e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.530749999999994060e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.530749999999994060e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.538750000000000395e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.611249999999998239e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.611249999999998239e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.611249999999998239e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.627250000000000085e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.691749999999999088e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.691749999999999088e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.691749999999999088e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.699749999999994599e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.748249999999998694e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.772249999999999659e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.772249999999999659e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.772249999999999659e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.796499999999998098e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.836749999999998662e-01
