t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,6.678900000000000148e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,6.678900000000000148e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,6.672499999999999432e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,6.678900000000000148e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,6.669199999999999307e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,6.672499999999999432e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,6.669199999999999307e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,6.675700000000000500e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,6.672499999999999432e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,6.665999999999999659e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,6.669199999999999307e+01,3.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,6.665999999999999659e+01,3.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,6.669199999999999307e+01,3.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,6.665999999999999659e+01,3.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,6.665999999999999659e+01,3.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,6.669199999999999307e+01,3.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,6.665999999999999659e+01,3.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,6.669199999999999307e+01,3.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,6.669199999999999307e+01,3.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,6.669199999999999307e+01,3.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,6.665999999999999659e+01,3.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,6.665999999999999659e+01,3.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,6.669199999999999307e+01,7.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,6.675700000000000500e+01,7.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,6.675700000000000500e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,6.678900000000000148e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,6.672499999999999432e+01,7.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,6.678900000000000148e+01,7.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,6.672499999999999432e+01,7.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,6.678900000000000148e+01,7.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,6.682099999999999795e+01,7.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,6.682099999999999795e+01,7.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,6.678900000000000148e+01,7.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,6.678900000000000148e+01,7.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,6.695000000000000284e+01,7.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,6.698199999999999932e+01,7.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,6.717600000000000193e+01,7.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,6.720799999999999841e+01,7.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,6.730500000000000682e+01,7.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,6.730500000000000682e+01,7.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,6.730500000000000682e+01,7.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,6.730500000000000682e+01,7.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,6.733700000000000330e+01,7.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,6.736899999999999977e+01,7.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,6.756300000000000239e+01,7.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,6.762699999999999534e+01,7.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,6.762699999999999534e+01,7.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,6.762699999999999534e+01,7.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,6.765900000000000603e+01,7.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,6.781999999999999318e+01,7.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,6.794899999999999807e+01,7.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,6.794899999999999807e+01,7.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,6.794899999999999807e+01,7.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,6.794899999999999807e+01,7.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,6.827100000000000080e+01,7.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,6.827100000000000080e+01,7.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,6.827100000000000080e+01,7.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,6.833599999999999852e+01,7.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,6.856199999999999761e+01,7.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,6.859399999999999409e+01,7.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,6.859399999999999409e+01,7.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,6.865800000000000125e+01,7.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,6.891599999999999682e+01,7.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,6.891599999999999682e+01,7.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,6.891599999999999682e+01,7.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,6.904500000000000171e+01,7.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,6.923799999999999955e+01,7.000000000000000000e+01
