t,MV,PV,DV,MVP,MVI,MVD,MVFF,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.960900000000000176e+01,5.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.603019995521692067e+02,1.602916034155958300e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.541601011472557161e+02,1.541497050106823394e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.482535420565199900e+02,1.482431459199466133e+02,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.425733047760656120e+02,1.425629086394922354e+02,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.371107173259763101e+02,1.371003211894029334e+02,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.318574400108628026e+02,1.318470438742894260e+02,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000001421e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.268054526877060653e+02,1.267950565511327028e+02,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.219470425215591831e+02,1.219366463849858064e+02,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000001421e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.172747922104142049e+02,1.172643960738408424e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,4.999999999999998579e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.127815686612573813e+02,1.127711725246839904e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,4.999999999999998579e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.084605121000240047e+02,1.084501159634506138e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000001421e+01,1.960900000000000176e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.043050255988277968e+02,1.042946294622544343e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000001421e+01,1.964199999999999946e+01,5.000000000000000000e+01,1.500103961365733767e+02,-2.003087650044756742e+02,1.002983688679023118e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,4.999999999999998579e+01,1.967399999999999949e+01,5.000000000000000000e+01,1.499241397013743722e+02,-1.962872046569582380e+02,9.636306495558385166e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,4.999999999999998579e+01,1.973799999999999955e+01,5.000000000000000000e+01,1.498404970975450112e+02,-1.924218402790453410e+02,9.258134318150031561e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.980300000000000082e+01,5.000000000000000000e+01,1.496732118898862893e+02,-1.885283624631867667e+02,8.885515057330047739e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,4.999999999999998579e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.495033128508579239e+02,-1.847722544806472911e+02,8.526894162978935299e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000001421e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-1.808075237988932713e+02,8.164139519472244899e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000000e+01,4.999999999999998579e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-1.776792678938020913e+02,7.851313928963124056e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01,1.491661286041708365e+02,-1.746708774685253331e+02,7.550474886435449662e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000001421e+01,1.999599999999999866e+01,5.000000000000000000e+01,1.491661286041708365e+02,-1.717777596337064665e+02,7.261163102953564419e+01,0.000000000000000000e+00,1.000000000000000000e+00
