tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,7.999999999999118927e-04
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00,7.999999999999118927e-04
1.900000000000000000e+01,1.000000000000000000e+00,3.224999999999767115e-03
2.000000000000000000e+01,1.000000000000000000e+00,1.599999999999823785e-03
2.100000000000000000e+01,1.000000000000000000e+00,5.624999999999857545e-03
2.200000000000000000e+01,1.000000000000000000e+00,8.049999999999713635e-03
2.300000000000000000e+01,1.000000000000000000e+00,8.049999999999713635e-03
2.400000000000000000e+01,1.000000000000000000e+00,8.049999999999713635e-03
2.500000000000000000e+01,1.000000000000000000e+00,8.049999999999713635e-03
2.600000000000000000e+01,1.000000000000000000e+00,8.049999999999713635e-03
2.700000000000000000e+01,1.000000000000000000e+00,8.049999999999713635e-03
2.800000000000000000e+01,1.000000000000000000e+00,1.287500000000001490e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.287500000000001490e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.367499999999992680e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.609999999999978115e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.609999999999978115e-02
3.300000000000000000e+01,1.000000000000000000e+00,1.609999999999978115e-02
3.400000000000000000e+01,1.000000000000000000e+00,1.772499999999972362e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.174999999999975911e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.414999999999984867e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.414999999999984867e-02
3.800000000000000000e+01,1.000000000000000000e+00,2.414999999999984867e-02
3.900000000000000000e+01,1.000000000000000000e+00,2.414999999999984867e-02
4.000000000000000000e+01,1.000000000000000000e+00,3.140000000000000430e-02
4.100000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.200000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.300000000000000000e+01,1.000000000000000000e+00,3.382499999999986212e-02
4.400000000000000000e+01,1.000000000000000000e+00,4.027499999999974850e-02
4.500000000000000000e+01,1.000000000000000000e+00,4.027499999999974850e-02
4.600000000000000000e+01,1.000000000000000000e+00,4.027499999999974850e-02
4.700000000000000000e+01,1.000000000000000000e+00,4.107500000000001428e-02
4.800000000000000000e+01,1.000000000000000000e+00,4.832499999999981949e-02
4.900000000000000000e+01,1.000000000000000000e+00,4.832499999999981949e-02
5.000000000000000000e+01,1.000000000000000000e+00,4.832499999999981949e-02
5.100000000000000000e+01,1.000000000000000000e+00,5.317499999999988208e-02
5.200000000000000000e+01,1.000000000000000000e+00,5.637499999999988354e-02
5.300000000000000000e+01,1.000000000000000000e+00,5.637499999999988354e-02
5.400000000000000000e+01,1.000000000000000000e+00,5.637499999999988354e-02
5.500000000000000000e+01,1.000000000000000000e+00,6.364999999999980396e-02
5.600000000000000000e+01,1.000000000000000000e+00,6.444999999999971585e-02
5.700000000000000000e+01,1.000000000000000000e+00,6.444999999999971585e-02
5.800000000000000000e+01,1.000000000000000000e+00,6.524999999999998856e-02
5.900000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-02
6.000000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-02
6.100000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-02
6.200000000000000000e+01,1.000000000000000000e+00,7.895000000000003404e-02
6.300000000000000000e+01,1.000000000000000000e+00,8.054999999999985782e-02
6.400000000000000000e+01,1.000000000000000000e+00,8.054999999999985782e-02
6.500000000000000000e+01,1.000000000000000000e+00,8.539999999999992042e-02
6.600000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
6.700000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
6.800000000000000000e+01,1.000000000000000000e+00,9.102499999999977276e-02
6.900000000000000000e+01,1.000000000000000000e+00,9.667499999999976112e-02
7.000000000000000000e+01,1.000000000000000000e+00,9.667499999999976112e-02
7.100000000000000000e+01,1.000000000000000000e+00,9.747500000000001996e-02
7.200000000000000000e+01,1.000000000000000000e+00,1.047249999999998182e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.047249999999998182e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.071500000000000369e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.119749999999999773e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.127749999999998892e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.127749999999998892e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.176249999999999518e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.208499999999997215e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.208499999999997215e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.272749999999998605e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.288999999999997925e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.288999999999997925e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.329249999999998211e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.369499999999998496e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.369499999999998496e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.393749999999997213e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.442000000000000226e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.466249999999998666e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.514499999999998070e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.530749999999994060e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.530749999999994060e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.594999999999998919e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.611249999999998239e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.611249999999998239e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.627250000000000085e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.691749999999999088e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.691749999999999088e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.691749999999999088e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.764249999999993324e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.772249999999999659e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.772249999999999659e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.788499999999998979e-01
