t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,6.459799999999999898e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,6.469400000000000261e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,6.472700000000000387e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,6.469400000000000261e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,6.469400000000000261e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,6.459799999999999898e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,6.459799999999999898e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,6.450100000000000477e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,6.459799999999999898e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,6.450100000000000477e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,6.450100000000000477e+01,3.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,6.450100000000000477e+01,3.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,6.456499999999999773e+01,3.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,6.443699999999999761e+01,3.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,6.446899999999999409e+01,7.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,6.446899999999999409e+01,7.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,6.443699999999999761e+01,7.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,6.440399999999999636e+01,7.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,6.440399999999999636e+01,7.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,6.440399999999999636e+01,7.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,6.440399999999999636e+01,7.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,6.453300000000000125e+01,7.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,6.462999999999999545e+01,7.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,6.472700000000000387e+01,7.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,6.472700000000000387e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,6.472700000000000387e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,6.488800000000000523e+01,7.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,6.495199999999999818e+01,7.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,6.495199999999999818e+01,7.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,6.495199999999999818e+01,7.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,6.498399999999999466e+01,7.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,6.495199999999999818e+01,7.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,6.498399999999999466e+01,7.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,6.498399999999999466e+01,7.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,6.498399999999999466e+01,7.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,6.504900000000000659e+01,7.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,6.504900000000000659e+01,7.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,6.504900000000000659e+01,7.000000000000000000e+01
