tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,-4.024999999999679008e-03
5.000000000000000000e+00,1.000000000000000000e+00,-6.449999999999888982e-03
6.000000000000000000e+00,1.000000000000000000e+00,-7.249999999999800875e-03
7.000000000000000000e+00,1.000000000000000000e+00,-5.649999999999977089e-03
8.000000000000000000e+00,1.000000000000000000e+00,-6.449999999999888982e-03
9.000000000000000000e+00,1.000000000000000000e+00,-6.449999999999888982e-03
1.000000000000000000e+01,1.000000000000000000e+00,-6.449999999999888982e-03
1.100000000000000000e+01,1.000000000000000000e+00,-3.224999999999767115e-03
1.200000000000000000e+01,1.000000000000000000e+00,-7.999999999999118927e-04
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,-7.999999999999118927e-04
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00,1.600000000000178970e-03
2.600000000000000000e+01,1.000000000000000000e+00,5.625000000000213163e-03
2.700000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.800000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.900000000000000000e+01,1.000000000000000000e+00,9.675000000000011716e-03
3.000000000000000000e+01,1.000000000000000000e+00,1.530000000000022488e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.610000000000013504e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.610000000000013504e-02
3.300000000000000000e+01,1.000000000000000000e+00,1.610000000000013504e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.335000000000029413e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.417500000000032470e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.497500000000023659e-02
3.700000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
3.800000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
3.900000000000000000e+01,1.000000000000000000e+00,3.302500000000030411e-02
4.000000000000000000e+01,1.000000000000000000e+00,4.027500000000010238e-02
4.100000000000000000e+01,1.000000000000000000e+00,4.027500000000010238e-02
4.200000000000000000e+01,1.000000000000000000e+00,4.027500000000010238e-02
4.300000000000000000e+01,1.000000000000000000e+00,4.430000000000013788e-02
4.400000000000000000e+01,1.000000000000000000e+00,4.832500000000017337e-02
4.500000000000000000e+01,1.000000000000000000e+00,4.832500000000017337e-02
4.600000000000000000e+01,1.000000000000000000e+00,4.832500000000017337e-02
4.700000000000000000e+01,1.000000000000000000e+00,5.075000000000003120e-02
4.800000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
4.900000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
5.000000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
5.100000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
5.200000000000000000e+01,1.000000000000000000e+00,5.962500000000012929e-02
5.300000000000000000e+01,1.000000000000000000e+00,6.202500000000021885e-02
5.400000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
5.500000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
5.600000000000000000e+01,1.000000000000000000e+00,7.170000000000023577e-02
5.700000000000000000e+01,1.000000000000000000e+00,7.250000000000014766e-02
5.800000000000000000e+01,1.000000000000000000e+00,7.412500000000007971e-02
5.900000000000000000e+01,1.000000000000000000e+00,8.057500000000032692e-02
6.000000000000000000e+01,1.000000000000000000e+00,8.057500000000032692e-02
6.100000000000000000e+01,1.000000000000000000e+00,8.137500000000023881e-02
6.200000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
6.300000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
6.400000000000000000e+01,1.000000000000000000e+00,8.862500000000003708e-02
6.500000000000000000e+01,1.000000000000000000e+00,9.265000000000007951e-02
6.600000000000000000e+01,1.000000000000000000e+00,9.667500000000010807e-02
6.700000000000000000e+01,1.000000000000000000e+00,9.667500000000010807e-02
6.800000000000000000e+01,1.000000000000000000e+00,1.015000000000000624e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.047250000000001791e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.047250000000001791e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.128000000000000114e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.128000000000000114e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.184250000000002245e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.208500000000000824e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.216499999999999942e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.289000000000001533e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.289000000000001533e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.297000000000000652e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.369500000000002105e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.393750000000000822e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.450249999999996819e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.450249999999996819e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.490499999999997383e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.530750000000001276e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.530750000000001276e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.611250000000001847e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.611250000000001847e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.667750000000001731e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.691750000000002419e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.691750000000002419e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.740250000000003183e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.772499999999997411e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.772499999999997411e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.788500000000002588e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.853000000000001590e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.853000000000001590e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.868999999999996220e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.893250000000001876e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.933500000000002161e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.933500000000002161e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.949750000000001759e-01
1.020000000000000000e+02,1.000000000000000000e+00,2.005999999999996675e-01
1.030000000000000000e+02,1.000000000000000000e+00,2.014249999999996876e-01
1.040000000000000000e+02,1.000000000000000000e+00,2.014249999999996876e-01
